No,機体名,HP,装甲,運動,索敵,EN,重量,直感,操縦,近,中,遠,NT,コスト,名声,POINT,地上,水中,宇宙,空中,種類1,種類1',種類2,種類2',種類3,種類3',種類4,種類4',種類5,種類5',種類6,種類6',|,特殊能力1,特殊能力2,特殊能力3,特殊能力4,特殊能力5,特殊能力6,特殊能力7,特殊能力8,特殊能力9,①派生元,①隠し武装,①属性,①威力,①弾数,①EN,"①射程
from","①射程
to",①HIT,①特殊効果,②派生元,②隠し武装,②属性,②威力,②弾数,②EN,"②射程
from","②射程
to",②HIT,②特殊効果,③派生元,③隠し武装,③属性,③威力,③弾数,③EN,"③射程
from","③射程
to",③HIT,③特殊効果,④派生元,④隠し武装,④属性,④威力,④弾数,④EN,"④射程
from","④射程
to",④HIT,④特殊効果,,,,,,,,,,
2620,ドム・グロウスバイル,283,25,58,48,265,14,0,0,90,90,0,0,30,5,11100,0,-3,3,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,c,ドム系,i,オリジナル系,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,月光号,1100,48,64,90,600,70,280,200,200,200,200,0,79,70,120000,-5,-4,-4,5,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,大型戦闘艦,2100,10,5,110,800,80,260,260,200,200,200,0,114,70,84000,-2,-2,1,-1,3,艦船系,n,スパロボ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,ガルマンガミラス戦闘空母,1600,10,5,80,700,80,260,260,200,200,200,0,93,30,54000,-2,-3,1,-3,3,艦船系,n,スパロボ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,バルグレイ,942,54,41,110,570,70,260,260,200,200,200,0,66,100,26490,-4,-5,3,2,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,ゴーランド,1800,5,5,120,600,70,250,250,200,200,200,0,97,50,30000,-2,-3,1,-4,3,艦船系,n,スパロボ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,デストリア,600,10,20,90,500,80,200,200,200,200,200,0,52,35,16200,-5,-5,1,-5,3,艦船系,n,スパロボ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,駆逐艦冬月,1700,5,5,120,700,70,280,280,200,200,200,0,97,50,30000,-3,0,1,-4,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,合体レッドホークヤマト(支援),1600,25,20,90,800,100,290,290,300,300,300,0,90,100,48000,0,1,1,1,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,ワイバーンギア,564,50,90,50,455,17,300,300,0,0,0,-5,58,30,27030,2,-3,1,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,リシテア(RM),860,43,37,120,700,80,200,200,200,200,200,0,63,100,78000,3,1,-3,-3,3,艦船系,U,機動戦士Vガンダム,h,ザンスカール帝国,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,リシテア(FM),860,43,37,120,700,80,200,200,200,200,200,0,63,100,78000,-3,-3,2,2,3,艦船系,U,機動戦士Vガンダム,h,ザンスカール帝国,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,グレゴルー専用スコープドッグTC,250,14,72,60,300,10,200,200,200,200,0,0,35,30,2100,5,-5,-5,-5,4,その他,e,専用機,o,ボトムズシリーズ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,ムーザ専用スコープドッグTC,250,14,72,60,300,10,200,200,200,200,0,0,35,30,2100,5,-5,-5,-5,4,その他,e,専用機,o,ボトムズシリーズ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,バイマン専用スコープドッグTC,250,14,72,60,300,10,200,200,200,200,0,0,35,30,2100,5,-5,-5,-5,4,その他,e,専用機,o,ボトムズシリーズ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,スタンディングタートル,270,18,60,60,320,10,0,150,150,150,0,0,32,5,2100,3,2,-5,-5,4,その他,o,ボトムズシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,エルドスピーネ,275,19,75,60,320,10,150,150,150,150,0,0,34,25,2100,5,-5,-5,-5,4,その他,o,ボトムズシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,レッドバロン,600,70,70,30,450,15,180,180,280,0,0,0,52,180,36000,3,0,-3,-2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,Hi-νガンダム,518,50,107,105,572,20,300,255,250,230,240,5,60,180,37440,1,-4,3,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,M,ZZ/CCA-MSV,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,クァドラン・ロー,385,36,98,70,430,10,170,170,170,170,170,-4,49,50,24000,3,-2,3,1,4,その他,v,マクロスシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,マックス専用クァドラン・ロー,430,40,105,90,480,10,180,180,180,180,180,-4,54,1,30000,3,-2,3,1,4,その他,v,マクロスシリーズ,e,専用機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,ガンダム試作2号機F,485,38,70,60,430,22,180,180,180,180,0,0,40,30,10200,3,-2,2,0,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,i,オリジナル系,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,ガンダム試作2号機PF,485,32,75,60,430,22,180,180,180,180,0,0,42,40,10200,3,-2,2,0,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,i,オリジナル系,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,ガンダム試作2号機MLRS,410,50,70,60,532,22,180,180,180,0,180,0,44,30,22980,2,-5,2,-4,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,ベイブル,372,58,100,65,450,15,180,190,190,170,150,0,43,50,18010,2,-5,3,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,バルディ,300,46,95,62,520,15,180,190,190,170,150,0,42,50,18010,2,-5,3,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,ブルグレン,530,45,60,70,490,20,140,150,150,150,120,0,54,10,19200,1,-4,5,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,エビル・S,345,36,83,64,378,18,90,125,110,40,0,0,37,1,12000,2,-3,2,0,1,MS系,S,機動戦士ガンダムF91,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,クロスボーン・ガンダムX1フルクロス,476,56,113,90,570,20,280,260,260,270,230,2,58,230,30630,3,-3,3,0,1,MS系,6,ガンダム系,P,機動戦士クロスボーンガンダム,,,,,,,|,中遠距離ビーム無効化、近距離ビーム半減,脱出機能,NT機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,クロスボーン・ガンダムX1フルアーマー,476,60,110,90,570,20,280,260,260,270,230,2,58,230,30630,3,-3,3,0,1,MS系,6,ガンダム系,P,機動戦士クロスボーンガンダム,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,ナカガワ専用高機動型ギャン,334,30,70,54,310,15,0,130,130,0,0,0,38,40,11580,3,0,3,0,1,MS系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,d,ギャン系,e,専用機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,スウェン専用ストライクIWSP,408,38,77,60,425,30,220,230,200,200,200,0,54,10,15000,2,-4,4,3,1,MS系,6,ガンダム系,r,機動戦士ガンダムSEED ASTRAY、MSV,e,専用機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,リガード,300,30,78,70,250,15,170,170,170,170,170,-1,30,10,10800,2,-3,3,0,4,その他,v,マクロスシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,リガード・小型ミサイルポッド装備,300,30,72,70,250,15,170,170,170,170,170,-1,30,10,11400,2,-3,3,0,4,その他,v,マクロスシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,リガード・大型ミサイルポッド装備,300,30,65,85,250,15,170,170,170,170,170,-1,30,10,11400,2,-3,3,0,4,その他,v,マクロスシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,ネモ(バリュートパック装備),352,35,70,60,397,18,120,130,0,80,0,0,37,5,12660,2,-3,2,-5,1,MS系,7,ジム系,0,エウーゴ・カラバ,I,機動戦士Zガンダム,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,ビルバイン(迷彩),345,27,120,80,510,15,290,290,290,290,150,7,42,20,36150,3,-2,0,5,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,ウイングキャリバー(迷彩),345,23,110,80,510,15,290,290,290,290,150,7,42,20,36150,3,-5,0,5,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,ナツキ,230,17,75,40,390,10,300,300,300,300,300,0,39,1,120000,3,-4,3,3,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,シズル,230,17,75,40,390,10,300,300,300,300,300,0,39,1,120000,3,-4,3,3,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,ハルカ,190,23,75,40,540,10,300,300,300,300,300,0,42,1,180000,1,1,1,1,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,エルスティン,200,20,65,40,420,10,300,300,300,300,300,0,38,1,180000,3,-4,2,2,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,ニナ,180,17,60,40,450,10,300,300,300,300,300,0,38,1,180000,3,-4,2,2,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,アリカ,210,25,80,40,450,10,300,300,300,300,300,0,41,200,180000,3,-4,2,2,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,はやて,154,17,80,72,570,10,300,300,300,300,300,0,54,100,240000,2,-5,2,2,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,ドロロロボ,300,18,50,50,250,13,200,200,180,170,150,0,25,1,30000,2,-4,0,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,クルルロボ,300,18,50,50,250,13,170,170,170,170,150,0,25,1,30000,2,-4,0,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,ギロロロボ,300,18,50,50,250,13,80,200,0,200,150,0,25,1,30000,2,-4,0,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,タママロボ,300,18,50,50,250,13,80,90,190,170,150,0,25,1,30000,2,-4,0,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,ケロロロボ,300,18,50,50,250,13,180,180,160,190,150,0,25,10,30000,2,-4,0,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,マッハパトロール,180,16,86,45,320,13,180,180,80,100,100,0,25,50,12000,3,3,-5,-4,n,スパロボ,q,車輌・戦闘機系,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,マッハアタッカー,180,16,98,45,320,13,180,180,80,100,100,0,25,1,12000,-5,-4,3,3,n,スパロボ,q,車輌・戦闘機系,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,ダイファイター,1152,77,75,50,990,80,300,300,250,250,250,0,99,350,98640,-5,-3,2,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,ダイタンク,1152,89,70,75,990,80,300,300,250,250,250,0,99,350,98640,2,2,0,-5,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,マークフィアー(汎用),575,50,77,65,470,35,200,100,50,200,200,-5,57,45,36000,4,-1,0,-4,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,ヌージャデル・ガー,350,37,80,70,350,15,170,170,170,170,170,-4,44,50,26400,3,-3,3,1,4,その他,v,マクロスシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,ヌージャデル・ガーR,380,40,80,70,380,15,190,190,190,190,190,-4,46,20,30000,3,-3,3,1,4,その他,v,マクロスシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,ザンボエース,468,46,80,65,320,30,200,200,120,150,160,-2,40,50,13210,2,-3,1,0,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,ザンバード,468,40,75,65,320,30,200,200,120,150,160,-2,40,1,13210,-4,-4,4,4,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,ファイナルダンクーガ(支援),934,72,70,75,990,27,330,350,320,300,320,0,81,1240,78780,3,-2,3,3,4,その他,n,スパロボ,,,,,,,,,|,近距離戦闘強化,中距離戦闘強化,支援タイプ,OT機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,ブラスティー(C),470,55,100,70,580,35,500,500,300,400,400,0,58,200,36000,-5,-3,4,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,ブラスティー(S),470,50,110,90,580,35,500,500,300,400,400,0,58,200,36000,-5,-4,5,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,ダグファイヤー,400,40,70,40,300,10,250,250,220,220,220,0,33,1,6010,2,0,0,-5,4,その他,w,勇者・エルドランシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,グレイ・ゼータ,448,56,122,82,478,19,250,270,200,230,250,5,60,150,37410,2,-3,2,-5,1,MS系,6,ガンダム系,e,専用機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,ウェイブライダー(グレイ・ゼータ),448,56,129,82,478,24,250,270,200,230,250,5,60,150,37410,-6,-6,4,4,2,MA系,6,ガンダム系,e,専用機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,レッド・ゼータ,448,56,122,82,478,19,250,270,200,230,250,5,57,150,37410,2,-3,2,-4,1,MS系,6,ガンダム系,e,専用機,,,,,,,|,,,,,,,,,,大型ビームサーベル,★ビームサーベル,ビーム,125,99,10,0,20,1,機体コストで攻撃力・移動力調整、命中10%増加,ビーム・ガン,★ビーム・ピストル,ビーム,105,99,10,20,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,ウェイブライダー(レッド・ゼータ),448,56,129,82,478,24,250,270,200,230,250,5,57,1,37410,-6,-6,4,4,2,MA系,6,ガンダム系,e,専用機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,火星独立ジオン軍仕様ガンダムF90,453,50,116,70,520,15,250,270,260,240,260,0,39,50,18750,2,-1,3,0,1,MS系,6,ガンダム系,R,機動戦士ガンダムF90,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,ゴールドフレーム天ミナO(汎用),456,45,91,75,572,18,300,290,310,220,220,-4,45,20,22320,3,-3,3,0,1,MS系,6,ガンダム系,r,機動戦士ガンダムSEED ASTRAY、MSV,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,新型量産機データ収集実験機,300,20,55,52,250,12,0,0,60,60,0,0,25,1,16050,2,0,2,0,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,H,スターダストメモリー,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,ワッパ,50,1,35,35,170,8,0,10,0,0,0,0,11,1,150,0,-3,-5,2,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,q,車輌・戦闘機系,F,量産機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,デストロイド・シャイアン,300,30,65,80,200,15,150,150,150,150,150,0,36,10,8400,2,-2,-2,1,4,その他,v,マクロスシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,デストロイド・トマホーク,340,36,60,100,210,15,180,180,170,170,170,0,39,30,9600,2,-2,0,-5,4,その他,v,マクロスシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,デストロイド・ディフェンダー,340,36,60,100,210,15,180,180,170,170,170,0,39,30,9600,2,-2,0,-5,4,その他,v,マクロスシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,デストロイド・スパルタン,360,44,85,60,250,15,180,180,170,170,170,0,44,30,10800,3,-2,-1,-5,4,その他,v,マクロスシリーズ,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,ゴライオン,780,57,45,50,750,60,350,350,350,330,300,0,71,50,72000,2,0,2,2,4,その他,w,勇者・エルドランシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,騎士ガンダム,520,60,62,65,480,25,250,250,250,150,130,0,45,40,30000,4,-4,0,0,1,MS系,6,ガンダム系,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,スカラップスSL,315,25,80,60,510,10,100,100,250,250,0,0,42,10,8400,3,-5,3,-5,4,その他,o,ボトムズシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,イクストル,340,36,33,52,150,12,0,0,50,50,0,0,23,10,8430,4,-5,-5,-5,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,アーマーン・アヌビス(支援),600,65,100,90,650,20,240,240,250,250,250,0,67,30,72000,2,2,2,2,4,その他,n,スパロボ,,,,,,,,,|,戦闘中HP、EN回復(暴走あり),フィールド,大気圏適正,ステルス(索敵難),支援タイプ,OT機,,,,ザク・バズーカ,★戌笛,ビーム,170,99,80,25,65,2,,強化スラスター,★ゼロシフト,ー,,,,,,,近距離に急速移動＆運動性増加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,テスト機仕様F91(支援),434,42,103,90,534,20,280,260,260,270,230,3,54,50,28380,2,-3,2,0,1,MS系,6,ガンダム系,8,連邦軍・ティターンズ・地球連合,S,機動戦士ガンダムF91,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,ギャプランTR-5,460,33,85,60,325,20,100,160,160,160,160,0,33,5,36120,0,-1,1,0,1,MS系,8,連邦軍・ティターンズ・地球連合,u,アドバンス・オブ・ゼータ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,ギャプランTR-5(MA),460,25,105,40,325,20,100,160,160,160,160,0,39,5,36120,-1,-2,3,4,1,MS系,8,連邦軍・ティターンズ・地球連合,u,アドバンス・オブ・ゼータ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,ファイバー,460,54,96,70,482,19,100,270,180,180,180,0,47,30,38490,-5,-3,3,3,1,MS系,8,連邦軍・ティターンズ・地球連合,u,アドバンス・オブ・ゼータ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,フライルー,422,45,113,60,454,25,150,285,285,285,0,0,45,10,33270,2,-3,2,-4,1,MS系,8,連邦軍・ティターンズ・地球連合,u,アドバンス・オブ・ゼータ,,,,,,,|,変形機構,OT機,,,,,,,,偏光ビームライフル,★ロング・ブレード・ライフル,ビーム,105,30,20,30,70,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,フライルー(MA),422,45,120,60,454,25,150,285,285,285,0,0,45,10,33270,-5,-5,5,3,2,MA系,8,連邦軍・ティターンズ・地球連合,u,アドバンス・オブ・ゼータ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,ヤッターアンコウ,340,22,40,55,400,10,200,250,250,150,130,0,40,70,12000,-6,2,2,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,ヤッターペリカン,300,20,58,55,400,10,200,250,250,150,130,0,40,1,12000,0,2,-6,4,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,ヤッターワン,310,22,50,55,400,10,200,250,250,150,130,0,40,1,12000,4,-4,0,0,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,ランスロット,365,37,100,50,420,10,280,350,350,350,300,0,38,50,30000,3,-4,-4,-4,4,その他,ｱ,コードギアス,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,コーネリア専用グロースター,318,37,80,50,300,10,280,350,350,350,300,0,31,40,21600,3,-2,-4,-5,4,その他,ｱ,コードギアス,e,専用機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
