No,機体名,★変形flag,ＨＰ,装甲,運動,索敵,ＥＮ,重量,直感,操縦,近,中,遠,名声,NT,SIZE,コスト,クレジット,地上,水中,宇宙,空中,種別
532,ベルガ・ダラス,0,435,41,93,60,512,18,160,135,125,100,0,35,－,Ｍ,46,17550,2,-3,2,0,MS系／機動戦士ガンダムF91／量産機
533,ダギ・イルス,0,445,42,100,80,520,18,180,160,150,150,0,25,－,Ｍ,48,18150,2,-3,2,0,MS系／機動戦士ガンダムF91／量産機
534,クワトロ専用ウェイブライダー ,1,419,42,105,110,535,20,300,300,290,280,270,1,NT5,Ｍ,51,0,-1,-3,4,1,MA系／ガンダム系／専用機／オリジナル系
535,ガンダムエアマスターバースト,0,458,41,113,75,570,17,255,235,220,200,200,80,NT3,Ｍ,51,18780,0,-4,2,3,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／機動新世紀ガンダムX
536,ガンダムエアマスターバースト(FM) ,1,458,41,118,75,570,17,255,235,220,200,200,80,NT3,Ｍ,51,0,-5,-5,3,4,MA系／ガンダム系／連邦軍・ティターンズ・地球連合／機動新世紀ガンダムX
537,ネェル・アーガマ,0,835,28,46,90,1595,130,270,300,230,265,300,200,－,ＬＬ,95,772760,-4,-5,4,2,艦船系／エウーゴ・カラバ／機動戦士ガンダムZZ
538,ジャンヌダルク,0,1550,30,45,185,1300,150,255,290,200,240,290,125,－,ＬＬ,110,254000,-4,-5,2,0,艦船系／連邦軍・ティターンズ・地球連合／機動戦士Vガンダム
539,リーンホースJr.,0,1560,53,65,170,1200,130,250,280,200,250,260,120,－,ＬＬ,114,380040,-4,-5,2,2,艦船系／機動戦士Vガンダム／リガ・ミリティア
540,ビギナ・ギナII,0,473,48,107,81,534,20,230,230,220,190,0,50,NT3,Ｍ,41,34120,2,-4,3,-3,MS系／機動戦士クロスボーンガンダム
541,ヴィッシュ専用ゲルググ,0,320,30,61,54,354,19,0,90,115,135,0,50,－,Ｍ,33,10440,3,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／ゲルググ系／専用機
542,プロトタイプZZガンダム,0,456,50,85,77,570,19,225,230,210,210,220,90,NT3,Ｍ,50,35220,2,-4,3,-5,MS系／ガンダム系／エウーゴ・カラバ／M-MSV(大河原邦夫コレクション)
543,GフォートレスO型 ,1,456,50,75,57,570,19,225,230,210,210,220,90,NT3,Ｍ,50,0,-4,-4,3,2,MA系／ガンダム系／エウーゴ・カラバ／M-MSV(大河原邦夫コレクション)
544,ザニー,0,272,21,35,35,283,18,0,15,10,0,0,5,－,Ｍ,25,6720,2,-4,2,-4,MS系／連邦軍・ティターンズ・地球連合／量産機
545,ジーライン・スタンダードアーマー,0,339,33,67,58,397,18,130,130,130,130,0,25,－,Ｍ,36,12060,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／M-MSV(大河原邦夫コレクション)
546,ザクレロ改,0,438,24,74,58,390,25,0,120,100,80,0,50,－,Ｌ,39,13230,-6,-6,3,-6,MA系／ジオン・ネオジオン軍・ザフト／オリジナル系
547,ララァ専用キュベレイ,0,440,40,85,90,570,20,255,225,210,210,210,100,NT4,Ｍ,52,64000,3,-5,5,-3,MS系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
548,ノリス専用グフ,0,290,30,52,42,312,18,10,30,30,0,0,50,－,Ｍ,29,8400,3,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／第08MS小隊／グフ系／専用機
549,リグ・シャッコー,0,450,41,87,70,460,14,220,240,220,210,200,70,－,Ｍ,45,18030,2,-3,2,2,MS系／機動戦士Vガンダム／ザンスカール帝国
550,メッサーラ・ディノファウスト・ジュピター,0,500,40,90,90,480,30,230,200,170,180,0,100,NT4,Ｍ,47,55000,-5,-5,5,-1,MS系／連邦軍・ティターンズ・地球連合／専用機
551,EW仕様ウイングガンダム,0,432,39,79,84,509,16,250,230,220,220,210,50,－,Ｍ,46,18690,3,-5,2,-4,MS系／ガンダム系／新機動戦記ガンダムW
552,EW仕様ウイングガンダム・バードモード ,1,432,39,84,80,509,16,250,230,220,220,210,1,－,Ｍ,46,0,-2,-3,3,2,MA系／ガンダム系／新機動戦記ガンダムW
553,EW仕様ガンダムデスサイズ,0,446,38,83,68,512,16,250,230,220,220,210,50,－,Ｍ,46,18600,3,0,-4,-4,MS系／ガンダム系／新機動戦記ガンダムW
554,EW仕様ガンダムヘビーアームズ,0,443,45,73,80,545,16,250,230,220,220,210,50,－,Ｍ,47,15720,3,0,-4,-4,MS系／ガンダム系／新機動戦記ガンダムW
555,EW仕様ガンダムサンドロック,0,431,45,71,76,487,16,250,230,220,220,210,50,－,Ｍ,44,12120,3,0,-4,-2,MS系／ガンダム系／新機動戦記ガンダムW
556,EW仕様シェンロンガンダム,0,431,39,76,67,509,16,230,220,230,210,200,50,－,Ｍ,44,12150,3,0,-4,-2,MS系／ガンダム系／新機動戦記ガンダムW
557,ガンダムMk-IV,0,440,48,80,90,440,40,300,150,250,250,250,50,－,Ｍ,42,52000,2,-5,2,0,MS系／ガンダム系／連邦軍・ティターンズ・地球連合
558,ジ・OII,0,640,53,98,100,640,45,280,260,260,260,240,100,NT3,Ｍ,58,40000,5,-5,0,-4,MS系／連邦軍・ティターンズ・地球連合
559,ペーネロペー,0,514,54,114,70,570,32,300,300,270,270,270,150,NT4,Ｍ,53,52240,-2,-5,3,3,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／閃光のハサウェイ
560,マツナガ専用リック・ドム,0,300,28,56,48,326,18,0,0,90,90,0,40,－,Ｍ,30,9270,-3,-4,3,-5,MS系／ジオン・ネオジオン軍・ザフト／ドム系／専用機／オリジナル系
561,ライデン専用リック・ドム,0,300,28,56,48,326,18,0,0,90,90,0,40,－,Ｍ,30,9270,-3,-4,3,-5,MS系／ジオン・ネオジオン軍・ザフト／ドム系／専用機／オリジナル系
562,ランバ・ラル専用リック・ドム,0,329,29,66,58,341,18,0,0,90,90,0,40,－,Ｍ,23,10230,-4,-4,3,-5,MS系／ジオン・ネオジオン軍・ザフト／ドム系／専用機／オリジナル系
563,シャア仕様ザクIII改,0,464,59,118,70,478,21,230,210,200,200,200,50,強1,Ｍ,49,58180,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
564,マツナガ専用ザクIII改,0,464,59,118,70,478,21,230,210,200,200,200,50,強1,Ｍ,49,58180,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
565,ヴァイエイト,0,440,43,79,65,552,16,250,250,230,240,250,30,－,Ｍ,37,12120,2,-4,2,-4,MS系／新機動戦記ガンダムW
566,ヴァイエイト・シュイヴァン,0,564,58,80,74,600,18,260,280,260,280,300,230,－,Ｍ,54,64020,2,-4,2,-5,MS系／G-UNIT
567,ゾリディア,0,415,40,86,76,408,14,210,190,160,160,160,40,－,Ｍ,42,18780,3,0,3,3,MS系／機動戦士Vガンダム／ザンスカール帝国
568,アイナ専用ゲルググM,0,352,33,67,58,372,19,0,165,165,165,0,50,－,Ｍ,34,11460,2,-4,2,-5,MS系／ジオン・ネオジオン軍・ザフト／ゲルググ系／専用機／オリジナル系
569,アイナ専用グフ・カスタム,0,304,32,56,50,326,18,0,0,125,0,0,30,－,Ｍ,31,9120,4,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／グフ系／専用機／オリジナル系
570,ガンダムアシュタロンHC,0,498,58,98,56,700,19,280,260,270,245,220,80,NT2,Ｍ,56,36460,1,-2,4,1,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／機動新世紀ガンダムX
571,ガンダムアシュタロンHC(MA) ,1,498,56,105,50,700,19,280,260,270,245,220,80,NT2,Ｍ,56,0,-5,-5,4,2,MA系／ガンダム系／連邦軍・ティターンズ・地球連合／機動新世紀ガンダムX
572,コンティオ,0,432,50,110,80,630,16,200,200,200,180,180,140,－,Ｍ,53,70020,2,-3,3,-5,MS系／機動戦士Vガンダム／ザンスカール帝国
573,ガルグイユ ,1,430,40,85,80,450,14,180,200,200,150,150,20,－,Ｍ,40,0,1,2,-4,-5,MS系／機動戦士Vガンダム／ザンスカール帝国
574,ガルグイユ(MA) ,1,430,40,70,80,450,14,180,200,200,150,150,20,－,Ｍ,40,0,-5,3,-5,-5,MA系／機動戦士Vガンダム／ザンスカール帝国
575,アムロ専用リック・ディアス,0,390,43,91,58,447,18,170,170,170,170,0,80,－,Ｍ,42,22420,2,-3,2,-4,MS系／エウーゴ・カラバ／専用機／オリジナル系
576,ロケットバズーカ仕様ジム・キャノン,0,276,24,37,58,300,18,0,0,0,0,60,30,－,Ｍ,18,7290,1,-4,3,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／MSV(モビルスーツバリエーション)／量産機
577,装甲強化仕様ジム,0,280,30,52,44,260,14,0,20,60,40,0,30,－,Ｍ,25,7500,2,-2,0,0,MS系／ジム系／連邦軍・ティターンズ・地球連合／オリジナル系／量産機
578,グフ・シュバイスフント,0,340,22,46,60,280,18,80,140,120,100,100,60,－,Ｍ,28,7500,4,-5,-5,-3,MS系／ジオン・ネオジオン軍・ザフト／グフ系／オリジナル系
579,シュロウガ,0,540,65,115,70,700,30,290,290,270,270,170,70,NT5,Ｌ,62,101000,2,-2,2,5,その他／バンプレストオリジナル
580,エビル・ドーガ,0,750,53,75,95,650,60,300,240,250,240,230,50,－,Ｌ,60,70000,-5,-5,5,1,MA系／オリジナル系／量産機
581,シャッコー,0,384,36,80,66,408,14,210,220,210,200,180,40,－,Ｍ,37,13320,0,-5,-3,3,MS系／機動戦士Vガンダム／ザンスカール帝国／量産機
582,クロノクル専用ゾロ,0,410,36,86,65,408,20,210,240,235,220,200,10,－,Ｍ,41,12600,-4,-4,-4,2,MS系／機動戦士Vガンダム／専用機／ザンスカール帝国
583,マーベット専用ゾロアット,0,404,41,87,67,408,20,0,130,130,135,0,40,－,Ｍ,41,15270,-4,-4,3,-5,MS系／機動戦士Vガンダム／専用機／リガ・ミリティア
584,アムロ仕様Zガンダム,0,448,56,122,82,478,19,250,270,200,230,250,80,NT3,Ｍ,55,54820,2,-3,3,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／オリジナル系
585,アビゴル,0,443,41,83,85,490,20,220,250,230,220,220,85,－,Ｍ,47,17520,0,-4,2,-4,MS系／機動戦士Vガンダム／ザンスカール帝国／量産機
586,アビゴル(MA) ,1,443,41,90,85,490,20,220,250,230,220,220,85,－,Ｍ,47,0,-5,-5,3,-5,MA系／機動戦士Vガンダム／ザンスカール帝国／量産機
587,マーメイドガンダム,0,450,52,75,64,420,20,195,205,200,180,170,50,強3,Ｍ,41,13200,2,2,0,-5,MS系／ガンダム系／機動武闘伝Gガンダム
588,プロトタイプ・ザク,0,135,10,25,30,110,8,0,10,0,0,0,1,－,Ｍ,12,3360,0,-3,1,-2,MS系／ザク系／ジオン・ネオジオン軍・ザフト／M-MSV(大河原邦夫コレクション)
589,ザクIIF2・高機動バックパック装備,0,325,25,90,50,275,16,0,110,80,50,0,10,－,Ｍ,34,7500,1,-3,4,1,MS系／ザク系／ジオン・ネオジオン軍・ザフト／オリジナル系
590,ザクIIF3,0,325,28,65,60,300,18,0,105,100,80,0,15,－,Ｍ,31,7800,2,-1,2,-1,MS系／ザク系／ジオン・ネオジオン軍・ザフト／オリジナル系
591,アムロ専用リ・ガズィ,0,412,35,85,72,420,18,200,200,180,150,150,50,－,Ｍ,43,44800,1,-5,3,0,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／専用機／オリジナル系
592,アムロ専用リ・ガズィ(BWS),0,412,35,79,72,420,18,210,220,210,200,200,100,－,Ｍ,43,44800,-5,-2,4,3,MA系／ガンダム系／連邦軍・ティターンズ・地球連合／専用機／オリジナル系
593,隊長仕様リゼル,0,422,50,109,85,432,20,270,290,320,320,320,10,－,Ｍ,43,41380,1,-3,1,-5,MS系／連邦軍・ティターンズ・地球連合
594,隊長仕様リゼル(WR) ,1,422,50,115,85,432,20,270,290,320,320,320,10,－,Ｍ,43,0,-5,-5,3,3,MA系／連邦軍・ティターンズ・地球連合
595,メガゼータ,0,650,50,75,85,500,40,260,250,250,240,240,100,NT5,Ｍ,53,52000,1,-2,4,0,MS系／ガンダム系／エウーゴ・カラバ
596,クルツ専用グフ,0,290,30,52,42,312,18,10,30,30,0,0,50,－,Ｍ,29,8400,3,-3,-5,-4,MS系／ジオン・ネオジオン軍・ザフト／グフ系／専用機／オリジナル系
597,パーフェクトZガンダム,0,430,40,90,90,450,25,260,270,250,240,200,100,NT5,Ｍ,42,43000,1,-5,5,0,MS系／ガンダム系／オリジナル系
598,スーパーディアス,0,500,35,80,75,500,30,200,210,190,200,180,80,－,Ｍ,45,32800,2,-5,2,0,MS系／オリジナル系
599,アーマードガンダムMk-II,0,380,46,55,60,400,30,150,160,150,140,0,40,－,Ｍ,40,25000,1,0,2,0,MS系／ガンダム系／オリジナル系
600,ガンダムGP00(ブロッサム),0,410,43,87,60,425,18,180,180,180,180,180,50,－,Ｍ,31,22420,2,-3,2,-4,MS系／ガンダム系／連邦軍・ティターンズ・地球連合
601,ウォルターガンダム,0,408,46,97,70,500,20,240,200,200,200,200,75,強4,Ｍ,51,22000,-5,4,0,1,MA系／ガンダム系／機動武闘伝Gガンダム
602,グランドガンダム,0,513,55,59,50,780,35,240,200,200,200,200,75,強4,Ｍ,69,28000,5,-2,-2,-5,MS系／ガンダム系／機動武闘伝Gガンダム
603,ガンダムヘブンズソード,0,415,42,109,65,500,20,240,200,200,200,200,75,強4,Ｍ,50,22000,3,-3,0,1,MS系／ガンダム系／機動武闘伝Gガンダム
604,マスターガンダム風雲再起,0,1000,63,90,84,800,20,300,300,300,300,290,500,強5,Ｍ,78,128030,4,-2,2,2,MS系／ガンダム系／機動武闘伝Gガンダム
605,マーメイドガンダム(MA) ,1,400,42,95,64,400,20,195,205,200,180,170,50,強3,Ｍ,41,0,-5,5,-2,-5,MA系／ガンダム系／機動武闘伝Gガンダム
606,ネーデルガンダム(MA) ,1,450,50,1,60,500,20,190,190,180,180,150,50,強4,Ｍ,38,0,3,-5,-1,0,MA系／ガンダム系／機動武闘伝Gガンダム
607,ネーデルガンダム,0,450,50,40,65,500,20,190,190,180,180,150,50,強4,Ｍ,38,9000,2,0,0,0,MS系／ガンダム系／機動武闘伝Gガンダム
608,ジョンブルガンダム,0,395,38,73,70,530,20,170,195,195,190,160,50,強3,Ｍ,47,15000,4,-4,1,0,MS系／ガンダム系／機動武闘伝Gガンダム
609,マンダラガンダム,0,480,54,105,75,560,20,160,170,170,160,150,50,強2,Ｍ,44,40020,3,-5,1,2,MS系／ガンダム系／機動武闘伝Gガンダム
610,ランバーガンダム,0,575,60,80,70,600,20,175,175,175,175,175,50,強2,Ｍ,55,60020,4,-4,1,-4,MS系／ガンダム系／機動武闘伝Gガンダム
611,ネロスガンダム,0,382,40,80,65,450,20,180,190,195,180,150,50,強3,Ｍ,43,12000,4,-4,0,0,MS系／ガンダム系／機動武闘伝Gガンダム
612,マンダラガンダム(MA) ,1,480,70,73,50,560,20,160,170,170,160,150,50,強2,Ｍ,44,0,0,-5,1,2,MA系／ガンダム系／機動武闘伝Gガンダム
613,ザクI(指揮官機),0,170,18,30,50,180,12,0,20,30,0,0,5,－,Ｍ,17,3540,1,-4,1,-3,MS系／ザク系／ジオン・ネオジオン軍・ザフト／オリジナル系／量産機
614,キャラ専用ザクIII改,0,464,59,118,70,478,21,230,210,200,200,200,50,強1,Ｍ,49,58180,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
615,ランバ・ラル専用ザクIIJ型,0,294,21,43,46,300,18,0,30,0,30,0,35,－,Ｍ,28,6750,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
616,ガルマ専用ザクI,0,288,20,41,50,280,18,10,10,10,0,0,30,－,Ｍ,24,7410,3,-2,2,0,MS系／ザク系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
617,バウ(MA) ,1,432,54,124,70,460,18,180,190,160,150,0,10,－,Ｍ,38,0,-5,-5,4,3,その他／ジオン・ネオジオン軍・ザフト／機動戦士ガンダムZZ
618,ウォルターガンダム(スタンディングモード) ,1,408,53,90,70,500,20,240,200,200,200,200,75,強4,Ｍ,51,0,3,1,-1,-1,MS系／ガンダム系／機動武闘伝Gガンダム
619,ガンダムヘブンズソード(アタックモード) ,1,415,42,99,65,500,20,240,200,200,200,200,75,強4,Ｍ,50,0,0,-4,0,6,MA系／ガンダム系／機動武闘伝Gガンダム
620,アムロ専用Zガンダム,0,410,42,93,119,535,20,300,300,290,280,280,100,NT5,Ｍ,48,12000,2,-1,3,1,MS系／ガンダム系／オリジナル系／専用機
621,ライデン専用ケンプファー,0,320,26,96,58,408,18,0,200,200,200,0,50,－,Ｍ,37,16860,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
622,シャア専用ボール,0,135,12,35,44,175,8,100,0,10,0,0,100,－,Ｓ,16,2940,-4,-4,2,-3,その他／専用機／オリジナル系
623,量産型キュベレイ,0,409,50,118,70,496,18,240,200,200,185,200,60,強4,Ｍ,47,49780,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダムZZ／量産機
624,ウォルフ専用ジム・キャノン,0,290,26,40,58,300,18,0,0,0,0,60,50,－,Ｍ,29,7830,2,-3,2,-4,MS系／ジム系／専用機／オリジナル系
625,高機動仕様ガンダム,0,384,35,100,65,300,18,330,340,310,310,300,85,－,Ｍ,40,12660,-4,-5,5,0,MS系／ガンダム系／オリジナル系
626,ジム・カナール,0,250,20,30,35,220,10,0,40,0,0,0,5,－,Ｍ,20,6450,0,-1,0,-1,MS系／ジム系
627,サーペント,0,425,50,62,45,360,30,150,150,150,130,0,10,－,Ｍ,36,10920,2,-3,2,-4,MS系／新機動戦記ガンダムW／量産機
628,サーペント・セカンド,0,430,52,65,50,380,30,160,175,160,155,0,10,－,Ｍ,38,23680,2,-3,2,-4,MS系／新機動戦記ガンダムW／量産機
629,ガンダム5号機,0,384,35,74,65,408,18,130,130,100,130,130,50,－,Ｍ,29,12720,-1,-3,3,-5,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／M-MSV(大河原邦夫コレクション)
630,レズン専用サザビー,0,438,50,82,77,470,40,245,260,240,240,240,100,－,Ｍ,54,13800,1,-5,3,-1,MS系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
631,ゴッドガンダム風雲再起,0,980,60,90,85,720,20,300,295,300,300,290,300,強5,Ｍ,75,110030,4,-2,2,2,MS系／ガンダム系／機動武闘伝Gガンダム
632,ティターンズ専用Zガンダム,0,448,56,122,82,478,19,250,270,200,230,250,100,NT3,Ｍ,55,54820,2,-3,3,-5,MS系／ガンダム系／連邦軍・ティターンズ・地球連合／専用機／オリジナル系
633,ウェイブライダー(ティターンズ) ,1,448,56,129,82,478,24,250,270,200,230,250,100,NT3,Ｍ,55,0,-5,-5,4,-1,MA系／ガンダム系／連邦軍・ティターンズ・地球連合／専用機／オリジナル系
634,夜行狙撃仕様ジム,0,285,18,30,85,300,20,100,120,0,0,150,30,－,Ｍ,26,7950,2,-3,0,-4,MS系／ジム系／オリジナル系
635,エスペランサ,0,460,45,60,60,400,30,100,150,90,100,0,1,－,Ｍ,39,9000,6,-5,-5,0,MA系／機動新世紀ガンダムX
636,ディアナ専用カプル,0,398,35,64,54,487,15,0,200,0,185,180,45,－,Ｍ,41,9000,2,4,0,-5,MS系／専用機／オリジナル系
637,ナイトファイター,0,650,40,65,85,480,30,190,210,0,195,210,50,－,Ｍ,49,9000,-5,-4,2,-1,その他／オリジナル系
638,ガンダム積載MSトレーラー,0,300,18,30,35,200,30,50,80,0,0,0,30,－,Ｍ,22,3450,3,-2,-5,-3,その他／ガンダム系／連邦軍・ティターンズ・地球連合／機動戦士ガンダム
639,ガ・ゾウム,0,336,35,74,50,376,18,0,200,200,200,0,65,－,Ｍ,35,11520,2,-3,2,-5,MS系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダムZZ／量産機
640,ガ・ゾウム(MA) ,1,336,35,80,50,376,18,0,200,200,200,0,65,－,Ｍ,35,0,-5,-5,3,2,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダムZZ／量産機
641,ジャムル・フィン(MA) ,1,403,37,137,66,478,20,135,140,0,0,90,115,－,Ｍ,46,0,-5,-5,4,-5,MA系／ジオン・ネオジオン軍・ザフト／機動戦士ガンダムZZ
642,ナカガワ専用高機動型ゲルググ,0,355,30,74,54,397,19,0,145,125,125,0,50,－,Ｍ,36,11040,1,-3,3,-5,MS系／ジオン・ネオジオン軍・ザフト／ゲルググ系／専用機／オリジナル系
643,ギリアム専用ギャン,0,320,30,62,54,354,18,0,100,130,0,0,50,－,Ｍ,33,10440,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／ギャン系／専用機／オリジナル系
644,高機動型ジオング,0,480,43,82,74,496,20,180,0,0,185,185,100,NT3,Ｍ,48,38560,-5,-5,4,-5,MS系／ジオン・ネオジオン軍・ザフト／オリジナル系
645,ザンネック,0,457,42,94,75,623,19,250,250,250,250,280,100,強5,Ｍ,51,28000,-2,-5,5,0,MS系／機動戦士Vガンダム／ザンスカール帝国
646,アイナ専用キュベレイ,0,450,40,80,75,520,20,255,220,210,210,210,100,－,Ｍ,49,52000,0,-5,4,2,MS系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
647,ガルマ専用グフ,0,290,30,52,42,312,18,10,30,30,0,0,50,－,Ｍ,26,8400,3,-3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／グフ系／専用機／オリジナル系
648,ガルマ専用ズゴック,0,307,28,52,42,333,18,0,0,95,95,0,50,－,Ｍ,30,9630,2,3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
649,ハモン専用マゼラ・アタック,0,192,15,43,52,212,13,10,30,30,30,0,50,－,Ｓ,21,2880,4,-4,-5,-5,その他／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
650,ジーライン・ライトアーマー,0,307,32,72,65,476,18,130,130,130,130,0,25,－,Ｍ,38,11490,2,-1,2,-1,MS系／連邦軍・ティターンズ・地球連合／M-MSV(大河原邦夫コレクション)
651,プロトZガンダム[X1型],0,410,48,122,80,420,25,200,200,200,200,200,75,－,Ｍ,45,42220,1,-3,2,0,MS系／ガンダム系／エウーゴ・カラバ／オリジナル系
652,プロトZガンダム(リック・ディアスヘッド),0,400,40,90,80,420,25,200,200,200,200,200,75,－,Ｍ,42,44800,1,-1,3,0,MS系／ガンダム系／エウーゴ・カラバ／オリジナル系
653,プロトZガンダム(ネモヘッド),0,400,40,90,80,420,25,200,200,200,200,200,75,－,Ｍ,42,44800,1,-1,3,0,MS系／ガンダム系／エウーゴ・カラバ／オリジナル系
654,シュネー・ヴァイス,0,333,28,48,90,362,18,250,250,110,110,250,50,NT5,Ｍ,35,10670,0,-4,4,-5,MS系／ジオン・ネオジオン軍・ザフト／ドム系／専用機／ZZ/CCA-MSV
655,ライデン専用ザクIII改,0,464,59,118,70,478,21,230,210,200,200,200,50,強1,Ｍ,49,58180,2,-3,2,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
656,ガンダムグリープ,0,540,46,115,76,730,25,250,250,250,240,240,130,－,Ｍ,60,182030,2,-3,4,0,MS系／ガンダム系／G-UNIT
657,ガンダムグリープ(アサルトモード) ,1,540,50,118,55,730,25,250,250,250,240,240,130,－,Ｍ,60,0,0,-5,3,3,MA系／ガンダム系／G-UNIT
658,ガンダムサンドロック,0,431,43,72,70,487,16,250,230,220,220,210,100,－,Ｍ,44,12030,3,0,-4,-4,MS系／ガンダム系／新機動戦記ガンダムW
659,シャイターン,0,450,50,74,60,650,35,200,200,180,180,230,50,－,Ｍ,50,12000,3,-1,2,0,MS系／機動戦士Vガンダム／ザンスカール帝国
660,Gダッシュ,0,450,30,80,50,400,35,210,210,200,200,195,50,－,Ｍ,39,12000,-4,-5,5,0,MA系／ガンダム系
661,ガンダムサンドロック改,0,481,50,89,76,657,16,250,230,200,200,210,80,－,Ｍ,51,23740,2,0,4,-4,MS系／ガンダム系／新機動戦記ガンダムW
662,ゴッゾー,0,267,35,60,60,300,25,0,100,0,70,100,10,－,Ｍ,31,6000,1,-1,1,0,MS系／ターンAガンダム
663,イーゲル,0,378,50,90,75,400,30,240,230,240,220,200,60,－,Ｍ,44,9000,3,0,1,0,MS系／ターンAガンダム
664,パーフェクトνガンダム,0,500,50,90,100,600,45,290,300,290,285,280,150,NT5,Ｍ,61,52000,1,0,2,-4,MS系／ガンダム系／オリジナル系
665,アフリカ戦線仕様ズゴック,0,307,28,52,42,333,18,0,0,95,95,0,40,－,Ｍ,30,9630,2,3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／オリジナル系
666,ランバ・ラル専用ズゴック,0,307,28,52,42,333,18,0,0,95,95,0,40,－,Ｍ,30,9630,2,3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
667,黒い三連星専用ゴッグ,0,296,35,44,50,333,18,0,0,35,35,0,40,－,Ｍ,30,8580,2,3,-5,-5,MS系／ジオン・ネオジオン軍・ザフト／専用機／オリジナル系
668,レーテ・ドーガ,0,315,38,65,70,350,40,200,240,210,180,170,50,NT5,Ｍ,37,12000,1,-2,3,0,MS系／ジオン・ネオジオン軍・ザフト／オリジナル系
669,ペガサスIII,0,1350,28,30,180,1100,125,200,260,190,200,250,100,－,ＬＬ,84,200000,0,-4,2,2,艦船系／ガンダムセンチネル
670,ボール(ジオン鹵獲機),0,115,12,23,40,160,8,0,0,10,0,0,5,－,Ｓ,12,1800,-4,-4,2,-4,その他／ジオン・ネオジオン軍・ザフト／量産機
671,ジム(ジオン鹵獲機),0,240,21,36,42,220,11,0,10,30,30,0,5,－,Ｍ,21,3570,1,-5,1,-2,MS系／ジム系／ジオン・ネオジオン軍・ザフト
672,ガンタンク(ジオン鹵獲機),0,268,28,38,80,300,18,0,0,0,0,80,5,－,Ｍ,27,4200,3,-5,-5,-2,その他／ジオン・ネオジオン軍・ザフト
673,ガンキャノン(ジオン鹵獲機),0,275,38,50,68,295,20,0,0,0,95,95,5,－,Ｍ,30,4230,3,-5,2,-2,MS系／ジオン・ネオジオン軍・ザフト
674,ジオン仕様ガンダム,0,350,32,62,58,325,20,130,130,130,130,0,5,－,Ｍ,32,10800,2,0,1,1,MS系／ガンダム系／ジオン・ネオジオン軍・ザフト
675,ザクI(連邦鹵獲機),0,155,15,28,40,175,10,0,0,10,0,0,5,－,Ｍ,16,3450,1,-4,1,-3,MS系／ザク系／連邦軍・ティターンズ・地球連合／量産機
676,ザクII(連邦鹵獲機),0,210,18,38,42,215,11,0,30,0,30,0,5,－,Ｍ,17,3675,2,-5,2,-3,MS系／ザク系／連邦軍・ティターンズ・地球連合／量産機
677,ザクII指揮官機(連邦鹵獲機),0,240,30,55,50,250,11,0,0,0,100,0,5,－,Ｍ,24,3750,3,-5,3,0,MS系／ザク系／連邦軍・ティターンズ・地球連合／量産機
678,グフ(連邦鹵獲機),0,290,30,52,42,312,18,10,30,30,0,0,5,－,Ｍ,29,8400,3,-3,-5,-5,MS系／連邦軍・ティターンズ・地球連合／グフ系／量産機
679,ドム(連邦鹵獲機),0,300,28,56,48,326,18,0,0,85,85,0,5,－,Ｍ,30,9270,3,-2,-5,-5,MS系／連邦軍・ティターンズ・地球連合／ドム系／量産機
680,リック・ドム(連邦鹵獲機),0,300,28,56,48,326,18,0,0,90,90,0,5,－,Ｍ,30,9270,-3,-4,3,-5,MS系／連邦軍・ティターンズ・地球連合／ドム系／量産機
